cr_gdp,dy,cr,fd0,fd1,fd2
147.8,0.63891,0,0.70581,0.74185,0.34258
147.5,0.90512,0,0.71063,0.75019,0.33772
148.3,0.94934,0,0.71545,0.75853,0.33286
148.8,0.43021,0,0.72027,0.76687,0.328
149.1,1.462,0,0.72509,0.77521,0.32313
148,1.451,0,0.72491,0.77324,0.33639
146.7,1.2733,0,0.72473,0.77127,0.34964
145.3,0.72519,0,0.72455,0.7693,0.3629
144.9,0.92332,0,0.72437,0.76732,0.37615
143.4,0.038431,0,0.72917,0.77302,0.38506
143.3,0.13557,0,0.73398,0.77871,0.39397
142.5,0.40612,0,0.73879,0.78441,0.40288
142,0.065265,0,0.74359,0.7901,0.41179
142.6,0.69499,0,0.74685,0.7862,0.456
142.5,0.87167,0,0.75012,0.78229,0.50021
145.6,0.79177,0,0.75338,0.77838,0.54442
146.8,1.3086,0,0.75664,0.77448,0.58863
147.1,1.1222,0,0.75721,0.77175,0.59216
147.3,1.187,0,0.75778,0.76902,0.59569
148.4,0.95948,0,0.75835,0.76629,0.59922
148.9,1.3963,0,0.75892,0.76357,0.60274
151.4,0.052001,0,0.75688,0.76117,0.61918
153.1,0.92562,0,0.75484,0.75878,0.63562
153.7,1.3421,0,0.7528,0.75639,0.65206
154,1.7917,0,0.75076,0.754,0.6685
154.5,0.83653,0,0.74781,0.72198,0.63018
152.4,1.5432,0,0.74486,0.68997,0.59186
149.1,1.4114,0,0.74191,0.65795,0.55354
150.5,1.5796,0,0.73896,0.62594,0.51522
149.2,1.1824,0,0.74078,0.63978,0.51948
148.8,1.0071,0,0.7426,0.65363,0.52373
147,0.18428,0,0.74442,0.66747,0.52799
148.9,0.51814,0,0.74624,0.68132,0.53224
149.4,0.27131,0,0.74262,0.67693,0.51941
153,-0.069626,0,0.739,0.67255,0.50657
153.2,0.61254,0,0.73537,0.66816,0.49374
156.6,1.474,0,0.73175,0.66378,0.4809
157,0.57148,0,0.73148,0.66371,0.48997
157,0.87607,0,0.73121,0.66364,0.49905
155.6,0.54659,0,0.73093,0.66357,0.50812
